realm,date,time,status,event
"regular","27 JUL mon","17:00","ENDS","Summon Mastery"
"regular","27 JUL mon","17:00","ENDS","Clash of Kingdoms"
"regular","27 JUL mon","17:00","ENDS","Conquerors' Revival"
"regular","27 JUL mon","17:00","ENDS","Thirst for Battle"
"regular","27 JUL mon","17:00","ENDS","Trial of the Chimera"
"regular","27 JUL mon","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","27 JUL mon","17:00","CONTINUE","Triumphal Challenge!"
"regular","27 JUL mon","17:00","CONTINUE","TRIALS OF OLYMPUS"
"regular","27 JUL mon","17:00","CONTINUE","Hellforge"
"regular","27 JUL mon","17:00","STARTS","Pharaoh's Bazaar"
"regular","27 JUL mon","17:00","STARTS","Summon Mastery"
"regular","27 JUL mon","17:00","STARTS","Immortal Essence"
"regular","27 JUL mon","17:00","STARTS","Pursuit of Evolution"
"regular","27 JUL mon","17:00","STARTS","The Great Hunt"
"regular","27 JUL mon","17:00","STARTS","Trial of the Basilisk"
"regular","28 JUL tue","17:00","ENDS","Hellforge"
"regular","28 JUL tue","17:00","ENDS","Immortal Essence"
"regular","28 JUL tue","17:00","ENDS","Pursuit of Evolution"
"regular","28 JUL tue","17:00","ENDS","The Great Hunt"
"regular","28 JUL tue","17:00","ENDS","Trial of the Basilisk"
"regular","28 JUL tue","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","28 JUL tue","17:00","CONTINUE","Triumphal Challenge!"
"regular","28 JUL tue","17:00","CONTINUE","TRIALS OF OLYMPUS"
"regular","28 JUL tue","17:00","CONTINUE","Pharaoh's Bazaar"
"regular","28 JUL tue","17:00","CONTINUE","Summon Mastery"
"regular","28 JUL tue","17:00","STARTS","Sealed in Flame"
"regular","28 JUL tue","17:00","STARTS","Doomsday"
"regular","28 JUL tue","17:00","STARTS","Lava Fountain Trial"
"regular","28 JUL tue","17:00","STARTS","Pursuit of Experience"
"regular","29 JUL wed","17:00","ENDS","Pharaoh's Bazaar"
"regular","29 JUL wed","17:00","ENDS","Summon Mastery"
"regular","29 JUL wed","17:00","ENDS","Doomsday"
"regular","29 JUL wed","17:00","ENDS","Lava Fountain Trial"
"regular","29 JUL wed","17:00","ENDS","Pursuit of Experience"
"regular","29 JUL wed","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","29 JUL wed","17:00","CONTINUE","Triumphal Challenge!"
"regular","29 JUL wed","17:00","CONTINUE","TRIALS OF OLYMPUS"
"regular","29 JUL wed","17:00","STARTS","Summon Mastery"
"regular","29 JUL wed","17:00","STARTS","Arachne's Swarm"
"regular","29 JUL wed","17:00","STARTS","Pursuit of Lava Oil"
"regular","29 JUL wed","17:00","STARTS","Trial of Tartaros"
"regular","29 JUL wed","17:10","ENDS","Sealed in Flame"
"regular","30 JUL thu","17:00","ENDS","Arachne's Swarm"
"regular","30 JUL thu","17:00","ENDS","Pursuit of Lava Oil"
"regular","30 JUL thu","17:00","ENDS","Trial of Tartaros"
"regular","30 JUL thu","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","30 JUL thu","17:00","CONTINUE","Triumphal Challenge!"
"regular","30 JUL thu","17:00","CONTINUE","TRIALS OF OLYMPUS"
"regular","30 JUL thu","17:00","CONTINUE","Summon Mastery"
"regular","30 JUL thu","17:00","STARTS","Ruthless Slaughter"
"regular","30 JUL thu","17:00","STARTS","Trial of Briareus"
"regular","30 JUL thu","17:00","STARTS","Ancients' Treasure"
"regular","31 JUL fri","16:30","ENDS","Ancients' Treasure"
"regular","31 JUL fri","17:00","ENDS","Summon Mastery"
"regular","31 JUL fri","17:00","ENDS","Ruthless Slaughter"
"regular","31 JUL fri","17:00","ENDS","Trial of Briareus"
"regular","31 JUL fri","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","31 JUL fri","17:00","CONTINUE","Triumphal Challenge!"
"regular","31 JUL fri","17:00","STARTS","Clash for the Throne"
"regular","31 JUL fri","17:00","STARTS","Summon Mastery"
"regular","31 JUL fri","17:00","STARTS","Rise of the Ancients"
"regular","31 JUL fri","17:00","STARTS","Trade Routes"
"regular","31 JUL fri","18:00","ENDS","TRIALS OF OLYMPUS"
"regular","01 AUG sat","17:00","ENDS","Rise of the Ancients"
"regular","01 AUG sat","17:00","ENDS","Trade Routes"
"regular","01 AUG sat","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","01 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"regular","01 AUG sat","17:00","CONTINUE","Clash for the Throne"
"regular","01 AUG sat","17:00","CONTINUE","Summon Mastery"
"regular","01 AUG sat","17:00","STARTS","Ragnarök"
"regular","02 AUG sun","17:00","ENDS","Clash for the Throne"
"regular","02 AUG sun","17:00","ENDS","Summon Mastery"
"regular","02 AUG sun","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","02 AUG sun","17:00","CONTINUE","Triumphal Challenge!"
"regular","02 AUG sun","17:00","CONTINUE","Ragnarök"
"regular","02 AUG sun","17:00","STARTS","Summon Mastery"
"regular","02 AUG sun","17:00","STARTS","Clash for the Throne"
"regular","03 AUG mon","17:00","ENDS","Ragnarök"
"regular","03 AUG mon","17:00","ENDS","Clash for the Throne"
"regular","03 AUG mon","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","03 AUG mon","17:00","CONTINUE","Triumphal Challenge!"
"regular","03 AUG mon","17:00","CONTINUE","Summon Mastery"
"regular","03 AUG mon","17:00","STARTS","Lucky Bazaar"
"regular","04 AUG tue","17:00","ENDS","Summon Mastery"
"regular","04 AUG tue","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","04 AUG tue","17:00","CONTINUE","Triumphal Challenge!"
"regular","04 AUG tue","17:00","CONTINUE","Lucky Bazaar"
"regular","04 AUG tue","17:00","STARTS","Summon Mastery"
"regular","04 AUG tue","17:00","STARTS","Sacred Rituals"
"regular","05 AUG wed","17:00","ENDS","Sacred Rituals"
"regular","05 AUG wed","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","05 AUG wed","17:00","CONTINUE","Triumphal Challenge!"
"regular","05 AUG wed","17:00","CONTINUE","Lucky Bazaar"
"regular","05 AUG wed","17:00","CONTINUE","Summon Mastery"
"regular","06 AUG thu","17:00","ENDS","Summon Mastery"
"regular","06 AUG thu","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","06 AUG thu","17:00","CONTINUE","Triumphal Challenge!"
"regular","06 AUG thu","17:00","CONTINUE","Lucky Bazaar"
"regular","06 AUG thu","17:00","STARTS","Summon Mastery"
"regular","07 AUG fri","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","07 AUG fri","17:00","CONTINUE","Triumphal Challenge!"
"regular","07 AUG fri","17:00","CONTINUE","Lucky Bazaar"
"regular","07 AUG fri","17:00","CONTINUE","Summon Mastery"
"regular","07 AUG fri","17:00","STARTS","Armageddon"
"regular","08 AUG sat","17:00","ENDS","Summon Mastery"
"regular","08 AUG sat","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","08 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"regular","08 AUG sat","17:00","CONTINUE","Lucky Bazaar"
"regular","08 AUG sat","17:00","CONTINUE","Armageddon"
"regular","08 AUG sat","17:00","STARTS","Summon Mastery"
"regular","08 AUG sat","17:00","STARTS","Authority Rush"
"regular","09 AUG sun","17:00","ENDS","Lucky Bazaar"
"regular","09 AUG sun","17:00","ENDS","Armageddon"
"regular","09 AUG sun","17:00","ENDS","Authority Rush"
"regular","09 AUG sun","17:00","CONTINUE","SEASONAL KINGDOM"
"regular","09 AUG sun","17:00","CONTINUE","Triumphal Challenge!"
"regular","09 AUG sun","17:00","CONTINUE","Summon Mastery"
"regular","10 AUG mon","09:00","ENDS","SEASONAL KINGDOM"
"regular","10 AUG mon","09:00","STARTS","Season's Legacy"
"regular","10 AUG mon","17:00","ENDS","Summon Mastery"
"regular","10 AUG mon","17:00","CONTINUE","Triumphal Challenge!"
"regular","10 AUG mon","17:00","STARTS","DARK OMENS"
"regular","10 AUG mon","17:00","STARTS","Summon Mastery"
"regular","11 AUG tue","17:00","CONTINUE","Triumphal Challenge!"
"regular","11 AUG tue","17:00","CONTINUE","Season's Legacy"
"regular","11 AUG tue","17:00","CONTINUE","DARK OMENS"
"regular","11 AUG tue","17:00","CONTINUE","Summon Mastery"
"regular","12 AUG wed","17:00","ENDS","DARK OMENS"
"regular","12 AUG wed","17:00","ENDS","Summon Mastery"
"regular","12 AUG wed","17:00","CONTINUE","Triumphal Challenge!"
"regular","12 AUG wed","17:00","CONTINUE","Season's Legacy"
"regular","12 AUG wed","17:00","STARTS","Summon Mastery"
"regular","13 AUG thu","17:00","CONTINUE","Triumphal Challenge!"
"regular","13 AUG thu","17:00","CONTINUE","Season's Legacy"
"regular","13 AUG thu","17:00","CONTINUE","Summon Mastery"
"regular","13 AUG thu","17:00","STARTS","Shadow Invasion"
"regular","14 AUG fri","17:00","ENDS","Summon Mastery"
"regular","14 AUG fri","17:00","CONTINUE","Triumphal Challenge!"
"regular","14 AUG fri","17:00","CONTINUE","Season's Legacy"
"regular","14 AUG fri","17:00","CONTINUE","Shadow Invasion"
"regular","14 AUG fri","17:00","STARTS","Dragon Fair"
"regular","14 AUG fri","17:00","STARTS","Summon Mastery"
"regular","15 AUG sat","17:00","ENDS","Shadow Invasion"
"regular","15 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"regular","15 AUG sat","17:00","CONTINUE","Season's Legacy"
"regular","15 AUG sat","17:00","CONTINUE","Dragon Fair"
"regular","15 AUG sat","17:00","CONTINUE","Summon Mastery"
"regular","16 AUG sun","17:00","ENDS","Dragon Fair"
"regular","16 AUG sun","17:00","ENDS","Summon Mastery"
"regular","16 AUG sun","17:00","CONTINUE","Triumphal Challenge!"
"regular","16 AUG sun","17:00","CONTINUE","Season's Legacy"
"regular","16 AUG sun","17:00","STARTS","Summon Mastery"
"regular","17 AUG mon","17:00","CONTINUE","Triumphal Challenge!"
"regular","17 AUG mon","17:00","CONTINUE","Season's Legacy"
"regular","17 AUG mon","17:00","CONTINUE","Summon Mastery"
"regular","18 AUG tue","17:00","ENDS","Summon Mastery"
"regular","18 AUG tue","17:00","CONTINUE","Triumphal Challenge!"
"regular","18 AUG tue","17:00","CONTINUE","Season's Legacy"
"regular","18 AUG tue","17:00","STARTS","Summon Mastery"
"regular","18 AUG tue","17:00","STARTS","Closing the Gap"
"regular","19 AUG wed","17:00","ENDS","Closing the Gap"
"regular","19 AUG wed","17:00","CONTINUE","Triumphal Challenge!"
"regular","19 AUG wed","17:00","CONTINUE","Season's Legacy"
"regular","19 AUG wed","17:00","CONTINUE","Summon Mastery"
"regular","20 AUG thu","17:00","ENDS","Summon Mastery"
"regular","20 AUG thu","17:00","CONTINUE","Triumphal Challenge!"
"regular","20 AUG thu","17:00","CONTINUE","Season's Legacy"
"regular","21 AUG fri","17:00","CONTINUE","Triumphal Challenge!"
"regular","21 AUG fri","17:00","CONTINUE","Season's Legacy"
"regular","22 AUG sat","17:00","CONTINUE","Triumphal Challenge!"
"regular","22 AUG sat","17:00","CONTINUE","Season's Legacy"
"regular","23 AUG sun","17:00","ENDS","Triumphal Challenge!"
"regular","23 AUG sun","17:00","CONTINUE","Season's Legacy"
"regular","24 AUG mon","17:00","CONTINUE","Season's Legacy"
"regular","24 AUG mon","17:00","STARTS","Summon Mastery"
"regular","25 AUG tue","17:00","CONTINUE","Season's Legacy"
"regular","25 AUG tue","17:00","CONTINUE","Summon Mastery"
"regular","26 AUG wed","17:00","ENDS","Summon Mastery"
"regular","26 AUG wed","17:00","CONTINUE","Season's Legacy"
"regular","27 AUG thu","17:00","CONTINUE","Season's Legacy"
"regular","28 AUG fri","17:00","CONTINUE","Season's Legacy"
"regular","29 AUG sat","17:00","CONTINUE","Season's Legacy"
"regular","30 AUG sun","17:00","CONTINUE","Season's Legacy"
"regular","30 AUG sun","17:00","STARTS","Summon Mastery"
"regular","31 AUG mon","17:00","CONTINUE","Season's Legacy"
"regular","31 AUG mon","17:00","CONTINUE","Summon Mastery"
"regular","01 SEP tue","17:00","ENDS","Summon Mastery"
"regular","01 SEP tue","17:00","CONTINUE","Season's Legacy"
"regular","02 SEP wed","17:00","CONTINUE","Season's Legacy"
"regular","03 SEP thu","17:00","CONTINUE","Season's Legacy"
"regular","04 SEP fri","17:00","CONTINUE","Season's Legacy"
"regular","05 SEP sat","17:00","CONTINUE","Season's Legacy"
"regular","05 SEP sat","17:00","STARTS","Summon Mastery"
"regular","06 SEP sun","17:00","ENDS","Season's Legacy"
"regular","06 SEP sun","17:00","CONTINUE","Summon Mastery"
"regular","07 SEP mon","17:00","ENDS","Summon Mastery"
"season","27 JUL mon","17:00","ENDS","Immortal Essence"
"season","27 JUL mon","17:00","ENDS","Pursuit of Evolution"
"season","27 JUL mon","17:00","ENDS","Ragnarök"
"season","27 JUL mon","17:00","ENDS","Summon Mastery"
"season","27 JUL mon","17:00","ENDS","The Great Hunt"
"season","27 JUL mon","17:00","CONTINUE","Forest Mysteries"
"season","27 JUL mon","17:00","CONTINUE","Path of Legend"
"season","27 JUL mon","17:00","CONTINUE","Pinnacle of Warfare"
"season","27 JUL mon","17:00","CONTINUE","SEASONAL KINGDOM"
"season","27 JUL mon","17:00","CONTINUE","Triumphal Challenge!"
"season","27 JUL mon","17:00","CONTINUE","Gifts of the Forest"
"season","27 JUL mon","17:00","STARTS","Dragon Fair"
"season","27 JUL mon","17:00","STARTS","Doomsday"
"season","27 JUL mon","17:00","STARTS","Pursuit of Experience"
"season","27 JUL mon","17:00","STARTS","Shadow Invasion"
"season","27 JUL mon","17:00","STARTS","Summon Mastery"
"season","28 JUL tue","17:00","ENDS","Doomsday"
"season","28 JUL tue","17:00","ENDS","Pursuit of Experience"
"season","28 JUL tue","17:00","ENDS","Shadow Invasion"
"season","28 JUL tue","17:00","ENDS","Summon Mastery"
"season","28 JUL tue","17:00","CONTINUE","Forest Mysteries"
"season","28 JUL tue","17:00","CONTINUE","Path of Legend"
"season","28 JUL tue","17:00","CONTINUE","Pinnacle of Warfare"
"season","28 JUL tue","17:00","CONTINUE","SEASONAL KINGDOM"
"season","28 JUL tue","17:00","CONTINUE","Triumphal Challenge!"
"season","28 JUL tue","17:00","CONTINUE","Gifts of the Forest"
"season","28 JUL tue","17:00","CONTINUE","Dragon Fair"
"season","28 JUL tue","17:00","STARTS","Ancients' Treasure"
"season","28 JUL tue","17:00","STARTS","Armageddon"
"season","28 JUL tue","17:00","STARTS","Clash of Kingdoms"
"season","28 JUL tue","17:00","STARTS","Ruthless Slaughter"
"season","28 JUL tue","17:00","STARTS","Summon Mastery"
"season","29 JUL wed","17:00","ENDS","Gifts of the Forest"
"season","29 JUL wed","17:00","ENDS","Dragon Fair"
"season","29 JUL wed","17:00","ENDS","Ancients' Treasure"
"season","29 JUL wed","17:00","ENDS","Armageddon"
"season","29 JUL wed","17:00","ENDS","Clash of Kingdoms"
"season","29 JUL wed","17:00","ENDS","Ruthless Slaughter"
"season","29 JUL wed","17:00","ENDS","Summon Mastery"
"season","29 JUL wed","17:00","CONTINUE","Forest Mysteries"
"season","29 JUL wed","17:00","CONTINUE","Path of Legend"
"season","29 JUL wed","17:00","CONTINUE","Pinnacle of Warfare"
"season","29 JUL wed","17:00","CONTINUE","SEASONAL KINGDOM"
